Latitude,Longitude,Country
51.89959,9.14533,Germany
42.70293,24.924429999999997,Bulgaria
46.49667,7.827210000000001,Switzerland
47.189029999999995,12.22803,Austria
49.19195,13.49032,Czechia
41.4334,23.5133,Bulgaria
47.020759999999996,12.763110000000001,Austria
42.153240000000004,23.5416,Bulgaria
47.938559999999995,14.06276,Austria
45.04222,6.84157,Italy
48.2889,16.752489999999998,Austria
47.38041,11.25207,Austria
47.205459999999995,13.01944,Austria
47.56947,13.27166,Austria
46.136759999999995,7.83487,Switzerland
46.67901,9.915230000000001,Switzerland
42.51828,23.3129,Bulgaria
47.9292,13.2597,Austria
47.0256,13.0261,Austria
47.3896,13.27755,Austria
48.4821,14.864679999999998,Austria
48.65817,14.049489999999999,Austria
47.573170000000005,13.537460000000001,Austria
42.53846,2.14759,France
42.536390000000004,1.90408,France
46.6808,8.34624,Switzerland
46.49371,7.566660000000001,Switzerland
46.67005,7.30055,Switzerland
48.122240000000005,8.86563,Germany
47.94168,14.5983,Austria
47.94043,14.330520000000002,Austria
46.50083,8.3484,Switzerland
47.39634,10.19261,Germany
47.39327,13.54244,Austria
50.638690000000004,15.70705,Czechia
44.85727,6.5953800000000005,France
49.195209999999996,19.76474,Slovakia
49.19782,20.039189999999998,Poland
49.37769,20.03569,Poland
49.38098,20.5867,Slovakia
45.40202,6.82791,France
45.78089,14.35684,Slovenia
47.03649,7.81543,Switzerland
49.379670000000004,20.31118,Poland
46.316720000000004,13.83106,Slovenia
46.31908,14.09079,Slovenia
46.665859999999995,13.03924,Austria
46.65572,12.51682,Italy
44.6824,5.14502,France
44.1377,6.624789999999999,France
48.6601,9.67896,Germany
47.21337,13.547379999999999,Austria
44.8668,7.1013,Italy
44.16069,3.6253,France
48.48146,9.40594,Germany
42.71855,2.14513,France
44.15412,7.62449,Italy
44.4975,6.61022,France
46.31023,7.311719999999999,Switzerland
42.87297,0.42905,France
48.48019,9.67655,Germany
46.64975,12.25572,Italy
48.66137,9.40738,Germany
47.200590000000005,12.755560000000001,Austria
47.92483,6.99212,France
48.10465,6.985130000000001,France
46.50261,9.13032,Switzerland
46.32085,9.649460000000001,Switzerland
46.50083,9.6516,Switzerland
46.6808,9.65376,Switzerland
44.51911,9.88077,Italy
45.22667,7.08935,France
45.222120000000004,6.83477,France
45.23405,7.59868,Italy
45.94166,6.80692,France
47.5818,14.60106,Austria
47.58242,14.867020000000002,Austria
47.38041,12.74793,Austria
47.3896,10.72245,Austria
46.50083,14.3484,Austria
48.302170000000004,9.134839999999999,Germany
47.7605,9.66717,Germany
48.30154,9.40451,Germany
46.849940000000004,10.705119999999999,Austria
44.322559999999996,6.8681399999999995,France
46.85355,10.44289,Switzerland
46.49371,10.43334,Italy
41.81805,20.15721,Albania
46.14204,8.61159,Switzerland
43.77787,6.6390899999999995,France
44.14262,6.874630000000001,France
43.97084,7.379410000000001,France
41.80291,24.95374,Bulgaria
49.55162,19.47927,Slovakia
45.92419,11.919839999999999,Italy
41.61838,24.71955,Bulgaria
44.70192,9.37866,Italy
47.020759999999996,5.23689,France
46.50202,9.39097,Switzerland
46.14204,9.38841,Italy
45.21133,5.67419,France
45.0315,5.66579,France
